Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;Kills;Deaths;Assists;KP%;Damage/Min;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-03-16;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305693|game3;2616450;14.4.567.9838;3;KDF Cuzz;-234;-599;0;1;1;0.5;148.84074396547854;0.0;0.018072289156626505;0.024096385542168676;0.2783132530120482;0.2457831325301205;0.04939759036144578;0.0;0.04819277108433735;0.09879518072289156
2024-03-16;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305693|game3;2616450;14.4.567.9838;3;FOX Willer;234;599;1;0;5;0.8571428571428571;166.90063484679226;0.008433734939759036;0.018072289156626505;0.020481927710843374;0.15060240963855423;0.21927710843373494;0.03855421686746988;0.1180722891566265;0.11325301204819277;0.05903614457831325
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305673|game1;2616449;14.4.567.9838;1;T1 Oner;158;-480;1;2;3;0.6666666666666666;229.46926094901025;0.0048250904704463205;0.05790108564535585;0.028950542822677925;0.2316043425814234;0.17490952955367914;0.06634499396863691;0.03618817852834741;0.020506634499396863;0.08926417370325694
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305673|game1;2616449;14.4.567.9838;1;HLE Peanut;-158;480;3;0;2;1.0;328.5558552509916;0.0012062726176115801;0.03618817852834741;0.025331724969843185;0.2316043425814234;0.1700844390832328;0.0;0.1471652593486128;0.09288299155609167;0.010856453558504222
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305673|game2;2616449;14.4.567.9838;2;T1 Oner;312;-44;0;0;3;1.0;182.20575559620596;0.015681544028950542;0.013268998793727383;0.0;0.18094089264173704;0.2243667068757539;0.0;0.14837153196622438;0.16164053075995174;0.08685162846803378
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305673|game2;2616449;14.4.567.9838;2;HLE Peanut;-312;44;1;1;0;0.3333333333333333;62.68584106191881;0.018094089264173704;0.03618817852834741;0.0;0.30156815440289503;0.2858866103739445;0.0;0.032569360675512665;0.03498190591073583;0.06272617611580217
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305673|game3;2616449;14.4.567.9838;3;HLE Peanut;-394;240;1;1;3;0.8;163.6932337289549;0.0;0.02891566265060241;0.01566265060240964;0.21927710843373494;0.27951807228915665;0.09036144578313253;0.006024096385542169;0.004819277108433735;0.056626506024096385
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305673|game3;2616449;14.4.567.9838;3;T1 Oner;394;-240;0;2;3;1.0;91.44812939017606;0.024096385542168676;0.02530120481927711;0.016867469879518072;0.18313253012048192;0.21204819277108433;0.007228915662650603;0.0927710843373494;0.07710843373493977;0.09036144578313253
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305649|game1;2616448;14.4.567.9838;1;GEN Canyon;724;1101;0;0;0;0;128.9019949188027;0.016867469879518072;0.020481927710843374;0.0;0.1674698795180723;0.2216867469879518;0.1891566265060241;0.0;0.016867469879518072;0.10722891566265061
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305649|game1;2616448;14.4.567.9838;1;NS Sylvie;-724;-1101;0;0;1;1.0;104.95783417882707;0.018072289156626505;0.0963855421686747;0.02289156626506024;0.12891566265060242;0.23734939759036144;0.0;0.07951807228915662;0.18072289156626506;0.010843373493975903
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305649|game2;2616448;14.4.567.9838;2;GEN Canyon;667;1036;3;0;1;0.6666666666666666;358.2549585881749;0.05783132530120482;0.007228915662650603;0.016867469879518072;0.19879518072289157;0.19156626506024096;0.10240963855421686;0.027710843373493974;0.03132530120481928;0.08072289156626505
2024-03-15;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305649|game2;2616448;14.4.567.9838;2;NS Sylvie;-667;-1036;1;2;1;0.5;142.32135698928295;0.0;0.046987951807228916;0.07710843373493977;0.10602409638554217;0.2;0.00963855421686747;0.172289156626506;0.1108433734939759;0.03132530120481928
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305613|game1;2616447;14.4.564.2947;1;BRO GIDEON;-487;-1952;2;2;3;0.8333333333333334;237.64463107788762;0.0;0.014457831325301205;0.0;0.25421686746987954;0.20481927710843373;0.04939759036144578;0.03734939759036145;0.04457831325301205;0.13132530120481928
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305613|game1;2616447;14.4.564.2947;1;KT Pyosik;487;1952;7;3;2;1.0;487.16282372344057;0.021686746987951807;0.04578313253012048;0.0;0.2493975903614458;0.2325301204819277;0.05903614457831325;0.02289156626506024;0.04578313253012048;0.03855421686746988
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305613|game2;2616447;14.4.564.2947;2;BRO GIDEON;-337;-209;1;3;4;0.7142857142857143;208.87515810840458;0.12289156626506025;0.0012048192771084338;0.0;0.1855421686746988;0.09879518072289156;0.10602409638554217;0.0;0.0;0.22650602409638554
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305613|game2;2616447;14.4.564.2947;2;KT Pyosik;337;209;2;2;6;0.7272727272727273;269.9089688262998;0.09518072289156626;0.0;0.008433734939759036;0.2746987951807229;0.13373493975903614;0.014457831325301205;0.0819277108433735;0.05301204819277108;0.056626506024096385
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305561|game1;2616446;14.4.564.2947;1;FOX Willer;-1616;-1272;0;2;0;0.0;113.28266476458053;0.0;0.03855421686746988;0.0;0.25542168674698795;0.3481927710843373;0.0;0.010843373493975903;0.04457831325301205;0.051807228915662654
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305561|game1;2616446;14.4.564.2947;1;DRX Sponge;1616;1272;1;0;2;1.0;156.94680377157775;0.0;0.027710843373493974;0.0;0.26987951807228916;0.3325301204819277;0.0;0.0891566265060241;0.09156626506024096;0.0
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305561|game2;2616446;14.4.564.2947;2;DRX Sponge;-534;-158;0;1;2;1.0;172.86019689617342;0.0;0.02289156626506024;0.03614457831325301;0.18795180722891566;0.38433734939759034;0.04216867469879518;0.01566265060240964;0.03614457831325301;0.024096385542168676
2024-03-14;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305561|game2;2616446;14.4.564.2947;2;FOX Willer;534;158;0;1;2;0.6666666666666666;129.16864184025843;0.0;0.016867469879518072;0.004819277108433735;0.21084337349397592;0.3180722891566265;0.0012048192771084338;0.06506024096385542;0.08795180722891566;0.046987951807228916
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game1;2662106;14.6.570.7097;1;GEN Canyon;638;347;0;0;0;0.0;18.218649824685535;0.0457280385078219;0.01444043321299639;0.0;0.26714801444043323;0.15643802647412755;0.07942238267148015;0.00842358604091456;0.04693140794223827;0.13116726835138387
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game1;2662106;14.6.570.7097;1;T1 Oner;-638;-347;0;0;1;1.0;92.57048094427181;0.0;0.03850782190132371;0.0;0.2430806257521059;0.3309265944645006;0.0;0.05896510228640193;0.098676293622142;0.018050541516245487
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game2;2662106;14.6.570.7097;2;T1 Oner;161;-11;1;0;2;0.75;141.45501987075778;0.0;0.031363088057901084;0.05307599517490953;0.19179734620024125;0.2255729794933655;0.0;0.04945717732207479;0.14957780458383596;0.05186972255729795
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game2;2662106;14.6.570.7097;2;GEN Canyon;-161;11;2;0;1;1.0;129.65955117288203;0.0;0.04825090470446321;0.07237635705669482;0.24849215922798554;0.316043425814234;0.0;0.010856453558504222;0.07478890229191798;0.026537997587454766
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game3;2662106;14.6.570.7097;3;GEN Canyon;-351;-509;0;2;4;1.0;132.65786535627822;0.0048134777376654635;0.03850782190132371;0.0;0.17569193742478942;0.2069795427196149;0.06859205776173286;0.02527075812274368;0.08904933814681107;0.07942238267148015
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game3;2662106;14.6.570.7097;3;T1 Oner;351;509;1;1;2;0.75;220.18905250936035;0.0012033694344163659;0.0457280385078219;0.06738868832731648;0.22623345367027678;0.2430806257521059;0.0;0.07099879663056559;0.1444043321299639;0.02286401925391095
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game4;2662106;14.6.570.7097;4;GEN Canyon;178;297;1;0;0;0.5;183.0761706135903;0.01325301204819277;0.004819277108433735;0.0;0.25301204819277107;0.22771084337349398;0.06265060240963856;0.04819277108433735;0.04457831325301205;0.07349397590361446
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game4;2662106;14.6.570.7097;4;T1 Oner;-178;-297;0;0;0;0.0;99.54332766550729;0.0;0.03734939759036145;0.03132530120481928;0.2710843373493976;0.2289156626506024;0.0036144578313253013;0.0927710843373494;0.09036144578313253;0.03493975903614458
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game5;2662106;14.6.570.7097;5;T1 Oner;-576;123;1;1;0;1.0;153.16587134128255;0.0;0.048134777376654635;0.010830324909747292;0.2695547533092659;0.2695547533092659;0.018050541516245487;0.024067388688327317;0.049338146811071;0.09747292418772563
2024-04-14;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371295|game5;2662106;14.6.570.7097;5;GEN Canyon;576;-123;0;0;2;0.6666666666666666;145.9453827863479;0.0;0.05174488567990373;0.02045728038507822;0.19975932611311673;0.25150421179302046;0.03850782190132371;0.06257521058965103;0.10589651022864019;0.049338146811071
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game1;2662105;14.6.570.7097;1;HLE Peanut;-962;-875;0;0;1;0.5;55.501537495411945;0.0;0.027677496991576414;0.0048134777376654635;0.1865222623345367;0.18772563176895307;0.11070998796630566;0.006016847172081829;0.056558363417569195;0.09386281588447654
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game1;2662105;14.6.570.7097;1;T1 Oner;962;875;1;1;1;0.6666666666666666;134.9357233743499;0.021660649819494584;0.019253910950661854;0.024067388688327317;0.2190132370637786;0.25150421179302046;0.0;0.11070998796630566;0.08182912154031288;0.007220216606498195
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game2;2662105;14.6.570.7097;2;T1 Oner;-609;-1143;0;2;1;1.0;102.34876445853897;0.02891566265060241;0.0;0.02891566265060241;0.20722891566265061;0.27590361445783135;0.0;0.04578313253012048;0.08313253012048193;0.0746987951807229
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game2;2662105;14.6.570.7097;2;HLE Peanut;609;1143;3;0;2;1.0;166.5245927466074;0.0;0.02891566265060241;0.01566265060240964;0.2421686746987952;0.3265060240963855;0.030120481927710843;0.03855421686746988;0.06385542168674699;0.051807228915662654
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game3;2662105;14.6.570.7097;3;T1 Oner;-51;125;1;0;1;0.6666666666666666;128.7596666348963;0.028985507246376812;0.021739130434782608;0.004830917874396135;0.2572463768115942;0.2318840579710145;0.030193236714975844;0.013285024154589372;0.10869565217391304;0.08091787439613526
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game3;2662105;14.6.570.7097;3;HLE Peanut;51;-125;1;1;3;1.0;188.45108214210686;0.07367149758454106;0.012077294685990338;0.004830917874396135;0.25966183574879226;0.24516908212560387;0.008454106280193236;0.006038647342995169;0.027777777777777776;0.07004830917874397
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game4;2662105;14.6.570.7097;4;HLE Peanut;500;129;1;1;2;1.0;129.55822230112454;0.0;0.0;0.031287605294825514;0.2539109506618532;0.3020457280385078;0.02888086642599278;0.0012033694344163659;0.006016847172081829;0.04091456077015644
2024-04-13;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371289|game4;2662105;14.6.570.7097;4;T1 Oner;-500;-129;1;0;2;1.0;100.036575851488;0.0;0.0;0.013237063778580024;0.22984356197352587;0.2683513838748496;0.0024067388688327317;0.11913357400722022;0.06257521058965103;0.032490974729241874
2024-04-07;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371283|game1;2616469;14.6.570.7097;1;T1 Oner;552;58;0;0;2;0.6666666666666666;180.46582439106066;0.06746987951807229;0.021686746987951807;0.03975903614457831;0.2325301204819277;0.2746987951807229;0.007228915662650603;0.024096385542168676;0.07349397590361446;0.06626506024096386
2024-04-07;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371283|game1;2616469;14.6.570.7097;1;DK Lucid;-552;-58;1;1;1;1.0;124.09497399990306;0.06746987951807229;0.02530120481927711;0.033734939759036145;0.2783132530120482;0.27349397590361446;0.0;0.04578313253012048;0.03253012048192771;0.006024096385542169
2024-04-07;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371283|game2;2616469;14.6.570.7097;2;DK Lucid;343;476;2;1;2;1.0;180.89658540963939;0.020481927710843374;0.02289156626506024;0.014457831325301205;0.2927710843373494;0.18674698795180722;0.05421686746987952;0.01566265060240964;0.027710843373493974;0.14216867469879518
2024-04-07;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371283|game2;2616469;14.6.570.7097;2;T1 Oner;-343;-476;1;1;3;0.8;235.17450655172965;0.0;0.016867469879518072;0.014457831325301205;0.26024096385542167;0.25180722891566265;0.03132530120481928;0.01566265060240964;0.0819277108433735;0.06626506024096386
2024-04-07;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371283|game3;2616469;14.6.570.7097;3;DK Lucid;630;784;2;0;3;0.8333333333333334;231.7714469979992;0.060240963855421686;0.03975903614457831;0.010843373493975903;0.14698795180722893;0.22650602409638554;0.0855421686746988;0.00963855421686747;0.02650602409638554;0.11566265060240964
2024-04-07;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371283|game3;2616469;14.6.570.7097;3;T1 Oner;-630;-784;0;1;1;0.5;248.69859576988102;0.043373493975903614;0.021686746987951807;0.024096385542168676;0.25180722891566265;0.2783132530120482;0.07108433734939759;0.04819277108433735;0.06265060240963856;0.01325301204819277
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game1;2616468;14.6.570.7097;1;GEN Canyon;143;-658;0;0;0;0;33.31910060164512;0.0;0.02286401925391095;0.039711191335740074;0.2250300842358604;0.31889290012033694;0.019253910950661854;0.036101083032490974;0.06377858002406739;0.05535499398315283
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game1;2616468;14.6.570.7097;1;HLE Peanut;-143;658;1;0;1;0.6666666666666666;170.67696089032268;0.01444043321299639;0.03489771359807461;0.0457280385078219;0.27075812274368233;0.28640192539109505;0.007220216606498195;0.0012033694344163659;0.08062575210589651;0.0036101083032490976
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game2;2616468;14.6.570.7097;2;GEN Canyon;-188;-252;0;0;0;0;161.1902406613278;0.02530120481927711;0.006024096385542169;0.02530120481927711;0.18795180722891566;0.1927710843373494;0.051807228915662654;0.010843373493975903;0.07951807228915662;0.07590361445783132
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game2;2616468;14.6.570.7097;2;HLE Peanut;188;252;0;0;0;0;90.70026841276668;0.00963855421686747;0.01927710843373494;0.0012048192771084338;0.30481927710843376;0.2433734939759036;0.0;0.0746987951807229;0.024096385542168676;0.04457831325301205
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game3;2616468;14.6.570.7097;3;HLE Peanut;-212;845;4;0;1;1.0;133.95639056089612;0.05060240963855422;0.01325301204819277;0.0036144578313253013;0.18313253012048192;0.17590361445783131;0.0;0.06746987951807229;0.09879518072289156;0.08072289156626505
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game3;2616468;14.6.570.7097;3;GEN Canyon;212;-845;0;1;0;0.0;32.68165539244308;0.021686746987951807;0.0;0.008433734939759036;0.2927710843373494;0.28674698795180725;0.010843373493975903;0.024096385542168676;0.030120481927710843;0.05060240963855422
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game4;2616468;14.6.570.7097;4;HLE Peanut;318;-372;0;0;3;0.75;64.6389311894363;0.06393244873341375;0.0036188178528347406;0.025331724969843185;0.22195416164053075;0.33775633293124246;0.0;0.039806996381182146;0.054282267792521106;0.0024125452352231603
2024-04-06;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371277|game4;2616468;14.6.570.7097;4;GEN Canyon;-318;372;2;1;0;0.6666666666666666;106.1273651895898;0.039806996381182146;0.008443908323281062;0.0012062726176115801;0.18697225572979492;0.22195416164053075;0.032569360675512665;0.027744270205066344;0.11218335343787696;0.0856453558504222
2024-04-04;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371271|game1;2616467;14.6.570.7097;1;T1 Oner;-961;-645;0;2;0;0.0;125.38805200352775;0.018072289156626505;0.02530120481927711;0.0024096385542168677;0.1746987951807229;0.20120481927710843;0.1108433734939759;0.04819277108433735;0.008433734939759036;0.1144578313253012
2024-04-04;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371271|game1;2616467;14.6.570.7097;1;HLE Peanut;961;645;0;0;2;0.6666666666666666;186.2979407336172;0.020481927710843374;0.04096385542168675;0.02650602409638554;0.21566265060240963;0.2783132530120482;0.03734939759036145;0.02891566265060241;0.056626506024096385;0.046987951807228916
2024-04-04;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371271|game2;2616467;14.6.570.7097;2;T1 Oner;-248;-258;1;3;0;0.5;136.64735596289117;0.061371841155234655;0.0024067388688327317;0.0;0.2575210589651023;0.17087845968712395;0.06618531889290012;0.0;0.015643802647412757;0.098676293622142
2024-04-04;LCK - Spring 2024 (Playoffs: Playoffs);111561337007371271|game2;2616467;14.6.570.7097;2;HLE Peanut;248;258;1;1;4;1.0;117.01569814205509;0.048134777376654635;0.01444043321299639;0.0;0.27075812274368233;0.17328519855595667;0.02527075812274368;0.030084235860409144;0.07340553549939831;0.05415162454873646
