Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;Deaths;KP%;WardPlaced;WardKilled;Damage/Min;JungleProximity;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game1;2663304;14.6.570.7097;1;G2 Mikyx;-169;-338;2;0.4;18;5;200.49924982677882;0.39590854392298436;0.17809867629362214;0.03369434416365824;0.24548736462093862;0.03489771359807461;0.05054151624548736;0.010830324909747292;0.021660649819494584;0.03730445246690734;0.04091456077015644
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game1;2663304;14.6.570.7097;1;BDS Labrov;-169;-338;3;0.7142857142857143;18;3;300.0235379229959;0.381468110709988;0.07340553549939831;0.0842358604091456;0.2888086642599278;0.027677496991576414;0.06016847172081829;0.056558363417569195;0.04693140794223827;0.04693140794223827;0.05535499398315283
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game2;2663304;14.6.570.7097;2;BDS Labrov;-157;-517;1;0.7142857142857143;17;6;231.46909467745695;0.37545126353790614;0.0;0.08062575210589651;0.3971119133574007;0.0;0.06016847172081829;0.02286401925391095;0.08543922984356198;0.04332129963898917;0.044524669073405534
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game2;2663304;14.6.570.7097;2;G2 Mikyx;-157;-517;5;0.6;20;10;166.41169995255038;0.18050541516245489;0.06859205776173286;0.08904933814681107;0.3381468110709988;0.11913357400722022;0.07220216606498195;0.0;0.006016847172081829;0.04332129963898917;0.010830324909747292
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game3;2663304;14.6.570.7097;3;G2 Mikyx;-1156;-1527;0;0.7692307692307693;23;5;248.8145175742502;0.39663461538461536;0.13822115384615385;0.12860576923076922;0.10817307692307693;0.04927884615384615;0.03245192307692308;0.028846153846153848;0.040865384615384616;0.028846153846153848;0.08173076923076923
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game3;2663304;14.6.570.7097;3;BDS Labrov;-1156;-1527;3;0.5;23;4;172.81184529416026;0.32211538461538464;0.025240384615384616;0.11057692307692307;0.2439903846153846;0.054086538461538464;0.078125;0.004807692307692308;0.026442307692307692;0.04927884615384615;0.07451923076923077
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game4;2663304;14.6.570.7097;4;BDS Labrov;-450;-68;5;0.6;34;12;75.80685597446;0.2069795427196149;0.17208182912154033;0.13357400722021662;0.056558363417569195;0.027677496991576414;0.06859205776173286;0.03489771359807461;0.01444043321299639;0.013237063778580024;0.07099879663056559
2024-04-07;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170302|game4;2663304;14.6.570.7097;4;G2 Mikyx;-450;-68;1;0.8571428571428571;29;9;153.17639025504897;0.4428399518652226;0.21660649819494585;0.036101083032490974;0.027677496991576414;0.08784596871239471;0.01684717208182912;0.032490974729241874;0.061371841155234655;0.03369434416365824;0.056558363417569195
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170294|game1;2663303;14.6.570.7097;1;VIT Hylissang;-281;163;2;0.4;13;4;167.17800121784379;0.21875;0.0;0.0733173076923077;0.3798076923076923;0.06971153846153846;0.10216346153846154;0.008413461538461538;0.008413461538461538;0.0733173076923077;0.055288461538461536
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170294|game1;2663303;14.6.570.7097;1;MDK Alvaro;-281;163;2;0.7142857142857143;21;4;187.75973756185587;0.20552884615384615;0.0;0.038461538461538464;0.33052884615384615;0.04567307692307692;0.09014423076923077;0.051682692307692304;0.040865384615384616;0.0985576923076923;0.0673076923076923
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170294|game2;2663303;14.6.570.7097;2;VIT Hylissang;-1454;-1188;1;0.25;9;1;183.8874367649063;0.17809867629362214;0.0;0.0;0.7581227436823105;0.0;0.02045728038507822;0.0;0.0;0.009626955475330927;0.0
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170294|game2;2663303;14.6.570.7097;2;MDK Alvaro;-1454;-1188;1;0.8;24;7;169.29143370779803;0.4500601684717208;0.0012033694344163659;0.056558363417569195;0.43441636582430804;0.030084235860409144;0.08543922984356198;0.00842358604091456;0.08303249097472924;0.08904933814681107;0.01444043321299639
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170298|game1;2663302;14.6.570.7097;1;FNC Jun;658;217;2;0.3333333333333333;18;5;133.05553138496222;0.29001203369434414;0.0;0.05415162454873646;0.3862815884476534;0.03369434416365824;0.07581227436823104;0.0036101083032490976;0.036101083032490974;0.11432009626955475;0.04091456077015644
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170298|game1;2663302;14.6.570.7097;1;TH Trymbi;658;217;1;0.5555555555555556;19;3;147.15387845519842;0.19975932611311673;0.0;0.04332129963898917;0.4717208182912154;0.0048134777376654635;0.052948255114320095;0.0;0.056558363417569195;0.13477737665463296;0.032490974729241874
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170298|game2;2663302;14.6.570.7097;2;TH Trymbi;764;109;2;1.0;21;3;133.48929371154665;0.22743682310469315;0.0;0.06618531889290012;0.41636582430806257;0.02527075812274368;0.08664259927797834;0.0;0.07701564380264742;0.08543922984356198;0.0
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170298|game2;2663302;14.6.570.7097;2;FNC Jun;764;109;1;0.6666666666666666;11;3;54.979771498186096;0.3622141997593261;0.0;0.07340553549939831;0.42719614921780985;0.007220216606498195;0.09987966305655836;0.0;0.049338146811071;0.13598074608904934;0.0
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170298|game3;2663302;14.6.570.7097;3;FNC Jun;-413;166;0;0.6666666666666666;17;4;52.60378957889237;0.22382671480144403;0.0;0.08062575210589651;0.3369434416365824;0.018050541516245487;0.14199759326113118;0.026474127557160047;0.06377858002406739;0.09386281588447654;0.01444043321299639
2024-04-06;LEC - Spring 2024 (Playoffs: Playoffs);111997906552170298|game3;2663302;14.6.570.7097;3;TH Trymbi;-413;166;2;1.0;16;2;50.01701279015348;0.2972322503008424;0.0;0.12274368231046931;0.2779783393501805;0.027677496991576414;0.10348977135980746;0.0;0.036101083032490974;0.15403128760529483;0.03489771359807461
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305677|game1;2616463;14.5.565.1230;1;KT BeryL;-292;-30;0;0.25;14;2;66.59308295340942;0.18094089264173704;0.0;0.016887816646562123;0.6127864897466827;0.0;0.1158021712907117;0.019300361881785282;0.008443908323281062;0.04101326899879373;0.0
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305677|game1;2616463;14.5.565.1230;1;KDF Quantum ;-292;-30;0;0;6;7;307.8823958330299;0.10494571773220748;0.0;0.009650180940892641;0.6598311218335344;0.0;0.039806996381182146;0.0;0.05307599517490953;0.06393244873341375;0.0
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305677|game2;2616463;14.5.565.1230;2;KDF Quantum ;-213;-777;2;1.0;14;4;452.0092707021603;0.15903614457831325;0.0;0.14337349397590363;0.5120481927710844;0.0024096385542168677;0.05542168674698795;0.0012048192771084338;0.0036144578313253013;0.01927710843373494;0.010843373493975903
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305677|game2;2616463;14.5.565.1230;2;KT BeryL;-213;-777;2;0.8571428571428571;15;2;265.62490681380035;0.35180722891566263;0.0;0.18072289156626506;0.4;0.007228915662650603;0.03253012048192771;0.0;0.007228915662650603;0.02530120481927711;0.0012048192771084338
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305621|game1;2616462;14.5.565.1230;1;FOX Execute;-3506;-1737;1;1.0;6;2;84.24011251368727;0.2045728038507822;0.0;0.03730445246690734;0.7087845968712395;0.0048134777376654635;0.024067388688327317;0.0;0.01684717208182912;0.06257521058965103;0.007220216606498195
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305621|game1;2616462;14.5.565.1230;1;BRO Effort;-3506;-1737;0;1.0;27;7;75.59462187741383;0.38868832731648617;0.0;0.12033694344163658;0.23706377858002406;0.02888086642599278;0.08784596871239471;0.02527075812274368;0.05776173285198556;0.16726835138387486;0.06498194945848375
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305621|game2;2616462;14.5.565.1230;2;BRO Effort;119;287;1;0.5;18;7;84.6564184117338;0.1530120481927711;0.0;0.05903614457831325;0.46987951807228917;0.016867469879518072;0.16626506024096385;0.0;0.03132530120481928;0.05301204819277108;0.004819277108433735
2024-03-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305621|game2;2616462;14.5.565.1230;2;FOX Execute;119;287;1;0.6;15;2;47.4812222678303;0.18433734939759036;0.0;0.11204819277108434;0.4469879518072289;0.020481927710843374;0.03855421686746988;0.008433734939759036;0.051807228915662654;0.10361445783132531;0.0036144578313253013
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305569|game1;2616461;14.5.565.1230;1;DRX Pleata;243;537;0;0.0;25;3;59.21370977910735;0.2358604091456077;0.036101083032490974;0.044524669073405534;0.40673886883273164;0.012033694344163659;0.06859205776173286;0.015643802647412757;0.0048134777376654635;0.0457280385078219;0.03850782190132371
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305569|game1;2616461;14.5.565.1230;1;T1 Keria;243;537;0;1.0;16;11;186.27208063484116;0.42719614921780985;0.05535499398315283;0.027677496991576414;0.4693140794223827;0.03369434416365824;0.05415162454873646;0.013237063778580024;0.05054151624548736;0.06257521058965103;0.03489771359807461
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305569|game2;2616461;14.5.565.1230;2;DRX Pleata;150;-149;0;1.0;20;4;226.92843905151832;0.27349397590361446;0.0;0.08674698795180723;0.5759036144578313;0.0;0.03855421686746988;0.0;0.0024096385542168677;0.030120481927710843;0.010843373493975903
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305569|game2;2616461;14.5.565.1230;2;T1 Keria;150;-149;1;1.0;15;3;205.9783513348197;0.3216867469879518;0.0;0.11204819277108434;0.5156626506024097;0.01325301204819277;0.06987951807228916;0.0;0.00963855421686747;0.03734939759036145;0.0
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305581|game1;2616460;14.5.565.1230;1;HLE Delight;-96;-55;0;0;14;4;132.01396739842284;0.28760529482551145;0.0;0.20216606498194944;0.5439229843561973;0.012033694344163659;0.02888086642599278;0.0;0.012033694344163659;0.015643802647412757;0.026474127557160047
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305581|game1;2616460;14.5.565.1230;1;DK Kellin;-96;-55;0;0.0;13;2;105.92898645553915;0.2190132370637786;0.0;0.21540312876052947;0.53309265944645;0.01684717208182912;0.026474127557160047;0.0;0.0;0.0048134777376654635;0.0036101083032490976
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305581|game2;2616460;14.5.565.1230;2;DK Kellin;-142;-422;1;0.5;10;6;61.39690662766264;0.2779783393501805;0.0421179302045728;0.08543922984356198;0.4645006016847172;0.01684717208182912;0.06498194945848375;0.05174488567990373;0.010830324909747292;0.02888086642599278;0.07340553549939831
2024-03-23;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305581|game2;2616460;14.5.565.1230;2;HLE Delight;-142;-422;0;1.0;14;1;37.87120577665254;0.21780986762936222;0.044524669073405534;0.098676293622142;0.34296028880866425;0.08062575210589651;0.05174488567990373;0.012033694344163659;0.05174488567990373;0.07581227436823104;0.013237063778580024
2024-03-22;LCK - Spring 2024 (Regular Season: Regular Season);111561337007371241|game1;2616459;14.5.565.1230;1;NS Peter;-135;225;0;1.0;16;2;161.3963032975604;0.3072289156626506;0.06385542168674699;0.07710843373493977;0.5012048192771085;0.02650602409638554;0.03855421686746988;0.0;0.0;0.0012048192771084338;0.04216867469879518
