Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;WardKilled;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;midLanePresence;botLanePresence;jungleAllyTopPresence;jungleAllyBotPresence;jungleEnemyTopPresence;jungleEnemyBotPresence;riverBotPresence;riverTopPresence
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305481|game1;2616379;14.1.553.2414;1;HLE Zeka;-325;-214;9.28452523137783;0;1;1;1.0;14;6;369.83910871835855;1183.685791015625;1360.15869140625;0.41155234657039713;0.030084235860409144;0.6787003610108303;0.0;0.0;0.013237063778580024;0.0;0.02888086642599278;0.09987966305655836;0.012033694344163659
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305481|game1;2616379;14.1.553.2414;1;KDF BuLLDoG;325;214;9.410845302553037;1;0;0;1.0;9;1;412.6110971542286;449.11639404296875;1143.5772705078125;0.4657039711191336;0.04332129963898917;0.717208182912154;0.0;0.013237063778580024;0.044524669073405534;0.0;0.0012033694344163659;0.032490974729241874;0.02045728038507822
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305481|game2;2616379;14.1.553.2414;2;HLE Zeka;639;47;11.001040399785433;0;0;1;0.3333333333333333;9;2;282.7043133807109;26.474292755126953;5984.587890625;0.4;0.1144578313253012;0.6783132530120481;0.0;0.01927710843373494;0.0;0.0012048192771084338;0.0024096385542168677;0.046987951807228916;0.04216867469879518
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305481|game2;2616379;14.1.553.2414;2;KDF BuLLDoG;-639;-47;10.368796698648339;0;0;0;0.0;7;5;172.19055325263002;0;242.86485290527344;0.4397590361445783;0.0;0.6433734939759036;0.14698795180722893;0.0;0.02530120481927711;0.0;0.0024096385542168677;0.008433734939759036;0.014457831325301205
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239869|game1;2616380;14.1.553.2414;1;DK ShowMaker;-444;-1045;9.348849281891171;0;1;0;0;3;1;217.07087669781737;0;0;0.4566265060240964;0.012048192771084338;0.691566265060241;0.10963855421686747;0.0036144578313253013;0.004819277108433735;0.0;0.004819277108433735;0.01927710843373494;0.006024096385542169
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239869|game1;2616380;14.1.553.2414;1;KT Bdd;444;1045;9.91736038687104;0;0;1;1.0;5;3;175.43872705276976;3097.44775390625;7749.09765625;0.5831325301204819;0.0;0.5819277108433735;0.1;0.008433734939759036;0.00963855421686747;0.0;0.016867469879518072;0.060240963855421686;0.060240963855421686
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239869|game2;2616380;14.1.553.2414;2;KT Bdd;161;263;9.357030543042713;2;0;0;0.5;6;2;417.8382569364753;0;836.45263671875;0.4108433734939759;0.03614457831325301;0.7409638554216867;0.01927710843373494;0.02530120481927711;0.0;0.0;0.0024096385542168677;0.00963855421686747;0.05421686746987952
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239869|game2;2616380;14.1.553.2414;2;DK ShowMaker;-161;-263;9.609923260422246;1;1;0;0.2;4;3;204.39894898131587;0;165.27691650390625;0.43132530120481927;0.06385542168674699;0.6421686746987951;0.006024096385542169;0.051807228915662654;0.05783132530120482;0.0;0.0;0.03253012048192771;0.043373493975903614
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239869|game3;2616380;14.1.553.2414;3;DK ShowMaker;426;581;10.929912458466248;1;0;0;1.0;9;3;222.28611979669523;470.5953369140625;470.5953369140625;0.6373493975903615;0.0;0.8228915662650602;0.0;0.010843373493975903;0.00963855421686747;0.004819277108433735;0.0;0.03493975903614458;0.008433734939759036
2024-01-21;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239869|game3;2616380;14.1.553.2414;3;KT Bdd;-426;-581;9.919053502769946;1;1;0;0.5;5;2;290.2011390017411;0;0;0.6397590361445783;0.0;0.6313253012048192;0.05783132530120482;0.0;0.09759036144578313;0.0;0.02530120481927711;0.02530120481927711;0.0
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305485|game1;2616381;14.1.553.2414;1;FOX Clozer;-125;-360;10.737741366209333;0;0;0;0.0;11;2;339.42815905168936;0;0;0.41686746987951806;0.0;0.7626506024096386;0.03614457831325301;0.0;0.018072289156626505;0.0036144578313253013;0.0;0.02891566265060241;0.016867469879518072
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305485|game1;2616381;14.1.553.2414;1;HLE Zeka;125;360;10.800904550716448;0;0;0;0.0;6;2;274.68006590754635;1180.210693359375;1180.210693359375;0.4867469879518072;0.0;0.6277108433734939;0.07108433734939759;0.0036144578313253013;0.03614457831325301;0.0;0.01566265060240964;0.06265060240963856;0.020481927710843374
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305485|game2;2616381;14.1.553.2414;2;HLE Zeka;810;1540;10.042779916238208;3;0;2;0.7142857142857143;4;6;417.4906283894805;3713.29736328125;9132.1103515625;0.470517448856799;0.04091456077015644;0.5619735258724429;0.0421179302045728;0.0048134777376654635;0.044524669073405534;0.02888086642599278;0.0;0.019253910950661854;0.05535499398315283
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305485|game2;2616381;14.1.553.2414;2;FOX Clozer;-810;-1540;9.790131364886303;1;1;0;0.5;7;0;563.9878669734135;1450.9654541015625;2172.96533203125;0.3862815884476534;0.0;0.7918170878459687;0.06859205776173286;0.0024067388688327317;0.021660649819494584;0.0;0.0024067388688327317;0.030084235860409144;0.00842358604091456
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305497|game1;2616382;14.1.553.2414;1;KT Bdd;650;909;10.487228313147583;1;0;2;0.75;7;3;336.11142896343483;760.0858154296875;760.0858154296875;0.5216867469879518;0.0;0.7373493975903614;0.0;0.008433734939759036;0.03975903614457831;0.0;0.04216867469879518;0.04216867469879518;0.033734939759036145
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305497|game1;2616382;14.1.553.2414;1;KDF BuLLDoG;-650;-909;8.655122162055534;0;2;0;0.0;13;5;143.34404448901134;0;822.0523681640625;0.42650602409638555;0.0;0.6759036144578313;0.016867469879518072;0.0;0.1108433734939759;0.0;0.0;0.04096385542168675;0.02289156626506024
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305497|game2;2616382;14.1.553.2414;2;KT Bdd;-1448;-220;9.603550928428527;1;1;2;0.75;8;3;208.40039622601844;0;1245.33349609375;0.5855421686746988;0.04096385542168675;0.6445783132530121;0.0024096385542168677;0.04457831325301205;0.08433734939759036;0.008433734939759036;0.0;0.0;0.01927710843373494
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305497|game2;2616382;14.1.553.2414;2;KDF BuLLDoG;1448;220;9.982638465077022;1;0;1;0.5;13;6;226.82768157834812;702.27294921875;2633.619140625;0.43855421686746987;0.0;0.7481927710843373;0.060240963855421686;0.0;0.014457831325301205;0.0012048192771084338;0.01566265060240964;0.03493975903614458;0.03975903614457831
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305497|game3;2616382;14.1.553.2414;3;KT Bdd;-93;-459;9.664898803892406;1;1;1;0.5;5;0;271.2399760622202;0;876.4063110351562;0.3349397590361446;0.0;0.4843373493975904;0.24819277108433735;0.0;0.07951807228915662;0.0;0.0036144578313253013;0.030120481927710843;0.0
2024-01-24;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305497|game3;2616382;14.1.553.2414;3;KDF BuLLDoG;93;459;10.10708371648879;1;0;1;0.25;8;5;266.8155051646624;911.1795043945312;3935.7265625;0.3759036144578313;0.11204819277108434;0.4903614457831325;0.09879518072289156;0.027710843373493974;0.03132530120481928;0.0;0.00963855421686747;0.03975903614457831;0.020481927710843374
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239881|game1;2616383;14.1.553.2414;1;DK ShowMaker;1504;1095;11.121652148457473;2;0;0;0.4;7;4;508.69842905029765;237.255126953125;237.255126953125;0.4602409638554217;0.0;0.8433734939759037;0.0;0.0;0.01566265060240964;0.0012048192771084338;0.0024096385542168677;0.03734939759036145;0.0036144578313253013
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239881|game1;2616383;14.1.553.2414;1;NS Callme;-1504;-1095;10.236975273011993;0;1;0;0.0;7;5;374.8317790290357;0;630.8180541992188;0.41686746987951806;0.0;0.7566265060240964;0.0;0.0;0.04819277108433735;0.0;0.0;0.02891566265060241;0.0
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239881|game2;2616383;14.1.553.2414;2;NS Callme;-645;-896;8.84481512107291;0;2;0;0;8;2;328.65897928524987;57.1077880859375;1315.31787109375;0.6686746987951807;0.0012048192771084338;0.5469879518072289;0.12409638554216867;0.008433734939759036;0.03132530120481928;0.02289156626506024;0.0;0.04096385542168675;0.024096385542168676
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239881|game2;2616383;14.1.553.2414;2;DK ShowMaker;645;896;9.855651134909815;2;0;0;0.6666666666666666;5;2;309.59379396824437;126.37322235107422;363.88494873046875;0.5855421686746988;0.0012048192771084338;0.636144578313253;0.06506024096385542;0.010843373493975903;0.0;0.0;0.03132530120481928;0.08072289156626505;0.012048192771084338
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239889|game1;2616384;14.1.553.2414;1;BRO Karis;-323;-1600;10.549375583459408;0;0;0;0.0;9;5;246.84845168342616;0;1291.8775634765625;0.4903614457831325;0.0;0.5795180722891566;0.1530120481927711;0.0;0.043373493975903614;0.0;0.0;0.03253012048192771;0.020481927710843374
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239889|game1;2616384;14.1.553.2414;1;GEN Chovy;323;1600;10.61254549713282;2;0;2;1.0;7;7;346.38765661484894;1888.2398681640625;2674.699462890625;0.46987951807228917;0.0;0.5831325301204819;0.13132530120481928;0.0;0.056626506024096385;0.0;0.0;0.10481927710843374;0.020481927710843374
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239889|game2;2616384;14.1.553.2414;2;BRO Karis;-517;-1508;9.979725920637009;0;0;1;0.16666666666666666;4;4;264.5133473418835;215.49685668945312;1951.198974609375;0.43441636582430804;0.0;0.5619735258724429;0.09265944645006016;0.009626955475330927;0.06618531889290012;0.0;0.0036101083032490976;0.061371841155234655;0.0
2024-01-25;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239889|game2;2616384;14.1.553.2414;2;GEN Chovy;517;1508;9.727074631506959;3;0;1;0.5714285714285714;6;6;549.7981342130556;1185.6851806640625;1710.3397216796875;0.36341756919374246;0.0;0.5956678700361011;0.03730445246690734;0.027677496991576414;0.009626955475330927;0.0;0.019253910950661854;0.17087845968712395;0.031287605294825514
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305509|game1;2616385;14.1.553.2414;1;KT Bdd;-425;-856;9.665851853530993;0;0;1;0.25;8;1;201.470764150949;0;0;0.3337349397590361;0.0;0.6072289156626506;0.02289156626506024;0.03253012048192771;0.03614457831325301;0.0036144578313253013;0.004819277108433735;0.06265060240963856;0.010843373493975903
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305509|game1;2616385;14.1.553.2414;1;T1 Faker;425;856;10.171255872016275;1;0;0;0.16666666666666666;2;7;181.35222005072828;840.0061645507812;4885.6328125;0.4433734939759036;0.020481927710843374;0.6746987951807228;0.04578313253012048;0.007228915662650603;0.012048192771084338;0.033734939759036145;0.0;0.018072289156626505;0.04216867469879518
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305509|game2;2616385;14.1.553.2414;2;T1 Faker;18;159;8.279082438319127;1;0;4;0.5555555555555556;5;2;542.5739853776821;1131.54736328125;1143.619140625;0.41566265060240964;0.0;0.6024096385542169;0.04939759036144578;0.02891566265060241;0.03975903614457831;0.006024096385542169;0.03614457831325301;0.0783132530120482;0.01566265060240964
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305509|game2;2616385;14.1.553.2414;2;KT Bdd;-18;-159;8.342281540901716;2;1;0;1.0;4;3;437.1886794888584;0;0;0.4397590361445783;0.0;0.5951807228915663;0.08313253012048193;0.016867469879518072;0.10481927710843374;0.0;0.00963855421686747;0.006024096385542169;0.01325301204819277
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305509|game3;2616385;14.1.553.2414;3;KT Bdd;-832;-1790;8.716629793057912;0;1;0;0.0;8;2;311.96438798715906;1201.4554443359375;1201.4554443359375;0.5903614457831325;0.0;0.8204819277108434;0.0;0.0;0.010843373493975903;0.0;0.0;0.03493975903614458;0.0
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007305509|game3;2616385;14.1.553.2414;3;T1 Faker;832;1790;9.158777681111573;3;0;3;1.0;6;4;666.3866314237367;1339.48828125;1339.48828125;0.5024096385542168;0.0;0.7192771084337349;0.03614457831325301;0.0;0.0024096385542168677;0.0;0.018072289156626505;0.043373493975903614;0.0012048192771084338
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239845|game1;2616386;14.1.553.2414;1;FOX Clozer;337;635;9.791830794803031;2;0;1;1.0;5;2;451.17452053098975;510.2762451171875;755.4783935546875;0.4927710843373494;0.0;0.655421686746988;0.03132530120481928;0.012048192771084338;0.02650602409638554;0.0036144578313253013;0.024096385542168676;0.10722891566265061;0.016867469879518072
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239845|game1;2616386;14.1.553.2414;1;DRX SeTab;-337;-635;8.717888062469795;1;1;0;1.0;6;5;501.6179956297716;0;5338.1826171875;0.4807228915662651;0.0;0.7253012048192771;0.0;0.0012048192771084338;0.03734939759036145;0.0;0.0;0.02650602409638554;0.043373493975903614
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239845|game2;2616386;14.1.553.2414;2;DRX SeTab;1499;941;10.61236743032363;0;0;1;1.0;6;6;553.2521296078324;773.4159545898438;3402.5126953125;0.3622141997593261;0.05535499398315283;0.681107099879663;0.0;0.01684717208182912;0.0;0.012033694344163659;0.006016847172081829;0.06979542719614922;0.05415162454873646
2024-01-26;LCK - Spring 2024 (Regular Season: Regular Season);111561337007239845|game2;2616386;14.1.553.2414;2;FOX Clozer;-1499;-941;8.654132964013913;0;1;0;0.0;6;2;242.48132532432024;0;0;0.49578820697954273;0.10348977135980746;0.6654632972322503;0.0;0.048134777376654635;0.0;0.0;0.0;0.015643802647412757;0.0
