Date;Tournament;MatchId;SeriesId;Patch;GameNumber;SummonnerName;XPD@15;GD@15;CS/Min;Kills;Deaths;Assists;KP%;WardPlaced;Damage/Min;TotalDamageDealtToBuilding;TotalDamageDealtToObjectives;JungleProximity;topLanePresence;jungleAllyTopPresence;jungleEnemyTopPresence;riverTopPresence
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568873|game1;2620481;14.1.553.2414;1;BKR Howling;-809;198;7.331004370279069;1;3;0;0.16666666666666666;5;187.64201088915567;1622.5494384765625;2252.44189453125;0.05542168674698795;0.5734939759036145;0.020481927710843374;0.0;0.02289156626506024
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568873|game1;2620481;14.1.553.2414;1;KCB Maynter;809;-198;7.836590878574177;0;1;3;0.3;6;415.0722975180277;161.54782104492188;161.54782104492188;0.21325301204819277;0.536144578313253;0.01566265060240964;0.0;0.02891566265060241
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568905|game1;2620482;14.1.553.2414;1;AEG Agresivoo;-625;-743;8.022608322634023;0;0;0;0;7;440.79994040869093;0;0;0.12409638554216867;0.7373493975903614;0.027710843373493974;0.0;0.027710843373493974
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568905|game1;2620482;14.1.553.2414;1;GO Lot;625;743;8.338459043997567;1;0;1;0.5;7;410.83301716818147;0;10072.470703125;0.26626506024096386;0.6012048192771084;0.012048192771084338;0.03493975903614458;0.0963855421686747
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503299|game1;2620483;14.1.553.2414;1;VITB Naak Nako;-673;-643;7.709049164162357;0;2;2;0.6666666666666666;5;302.9035909916353;1071.595458984375;1071.595458984375;0.15060240963855423;0.8891566265060241;0.0;0.0;0.02289156626506024
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503299|game1;2620483;14.1.553.2414;1;BDSA JNX;673;643;9.162394498389686;2;2;0;0.4;6;578.7399827079024;788.4466552734375;1405.384765625;0.1614457831325301;0.8;0.03253012048192771;0.0;0.03132530120481928
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503313|game1;2620484;14.1.553.2414;1;SLY Kryze;-37;-473;9.476246295608385;0;0;0;0.0;6;298.9847630789058;915.8370361328125;915.8370361328125;0.10481927710843374;0.8180722891566266;0.0;0.0024096385542168677;0.04578313253012048
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503313|game1;2620484;14.1.553.2414;1;M8 Ragner;37;473;9.413071320304331;0;0;0;0.0;7;431.2462317984893;938.6997680664062;938.6997680664062;0.09036144578313253;0.7843373493975904;0.01566265060240964;0.004819277108433735;0.06144578313253012
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568907|game1;2620485;14.1.553.2414;1;TDS SLT;9;-312;9.420289704062194;0;1;0;0.0;6;270.9271453862755;2106.638916015625;2106.638916015625;0.09156626506024096;0.791566265060241;0.008433734939759036;0.0;0.04819277108433735
2024-01-17;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568907|game1;2620485;14.1.553.2414;1;GW Pride;-9;312;9.230619441564297;1;0;3;0.5714285714285714;7;479.1643792948162;734.3474731445312;1266.702880859375;0.19879518072289157;0.7048192771084337;0.014457831325301205;0.024096385542168676;0.046987951807228916
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568891|game1;2620487;14.1.553.2414;1;GW Pride;-1193;-1008;8.345440563168268;2;2;0;0.4;5;265.7407382641956;659.2171020507812;5888.64404296875;0.2433734939759036;0.6578313253012048;0.007228915662650603;0.01927710843373494;0.04939759036144578
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568891|game1;2620487;14.1.553.2414;1;VITB Naak Nako;1193;1008;9.167340012571202;2;0;2;0.5714285714285714;7;574.0234785504954;4734.45068359375;5363.11376953125;0.10602409638554217;0.6807228915662651;0.03132530120481928;0.0;0.03614457831325301
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568875|game1;2620488;14.1.553.2414;1;BKR Howling;401;-350;8.715921526796283;0;2;2;0.2222222222222222;6;340.2879270131005;0;561.030517578125;0.10589651022864019;0.631768953068592;0.012033694344163659;0.0048134777376654635;0.15042117930204574
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568875|game1;2620488;14.1.553.2414;1;GO Lot;-401;350;8.652762675152832;1;2;1;0.5;4;200.49077402488865;888.0748901367188;888.0748901367188;0.1865222623345367;0.6702767749699158;0.052948255114320095;0.0;0.08543922984356198
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568879|game1;2620489;14.1.553.2414;1;SLY Kryze;457;379;9.726934923379014;0;0;0;0.0;6;463.2666483856693;1005.2069091796875;1071.3028564453125;0.1865222623345367;0.8592057761732852;0.0;0.009626955475330927;0.03369434416365824
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568879|game1;2620489;14.1.553.2414;1;AEG Agresivoo;-457;-379;9.284801517770878;0;0;0;0.0;7;261.79639234898707;0;0;0.12274368231046931;0.8158844765342961;0.00842358604091456;0.0024067388688327317;0.030084235860409144
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503293|game1;2620490;14.1.553.2414;1;BDSA JNX;-106;-390;9.666538471769545;0;0;0;0.0;4;266.7830299030411;0;0;0.14698795180722893;0.8012048192771084;0.0012048192771084338;0.0;0.01927710843373494
2024-01-18;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503293|game1;2620490;14.1.553.2414;1;M8 Ragner;106;390;9.72971846178111;0;0;0;0;6;281.0346525425103;1564.8746337890625;1564.8746337890625;0.03855421686746988;0.8771084337349397;0.0;0.004819277108433735;0.021686746987951807
2024-01-13;League of Legends Scrims;scrim | eins g3;2621164;14.1.553.2414;1;AEG Agresivoo;-1480;-707;8.022360789299325;0;2;1;0.2;6;413.64372504465393;0;0;0.2924187725631769;0.6702767749699158;0.0036101083032490976;0.056558363417569195;0.06618531889290012
2024-01-13;League of Legends Scrims;scrim | eins g3;2621164;14.1.553.2414;1;EINS Vertigo;1480;707;9.601565669082657;1;1;2;0.5;5;514.5510922259906;0;0;0.12033694344163658;0.8423586040914561;0.007220216606498195;0.0;0.036101083032490974
2024-01-13;League of Legends Scrims;scrim | eins g4 blindblind;2621198;14.1.553.2414;1;EINS Vertigo;-1;254;9.034997169613575;1;2;0;0.3333333333333333;6;620.5915531907574;1919.7906494140625;2040.46875;0.09036144578313253;0.8879518072289156;0.0;0.0;0.02289156626506024
2024-01-13;League of Legends Scrims;scrim | eins g4 blindblind;2621198;14.1.553.2414;1;AEG Agresivoo;1;-254;7.834543000224359;1;2;1;0.18181818181818182;5;477.8968806518377;1181.4954833984375;1181.4954833984375;0.22409638554216868;0.7313253012048193;0.02650602409638554;0.0;0.051807228915662654
2024-01-14;League of Legends Scrims;scrim| gia g3;2621501;14.1.553.2414;1;GIA Th3Antonio;18;-20;8.211872640685545;1;0;2;0.2727272727272727;8;534.5417080801151;2036.1966552734375;2036.1966552734375;0.09518072289156626;0.6337349397590362;0.00963855421686747;0.01927710843373494;0.03734939759036145
2024-01-14;League of Legends Scrims;scrim| gia g3;2621501;14.1.553.2414;1;AEG Agresivoo;-18;20;8.338209142849937;1;3;0;0.25;6;477.24551346326456;221.21250915527344;221.21250915527344;0.15903614457831325;0.5843373493975904;0.033734939759036145;0.04457831325301205;0.04819277108433735
2024-01-14;League of Legends Scrims;scrim| aeg game 5;2621549;14.1.553.2414;1;AEG Agresivoo;664;717;7.265092888304366;2;2;0;0.18181818181818182;6;630.3182497856471;4319.2421875;10434.046875;0.14819277108433734;0.6277108433734939;0.00963855421686747;0.0;0.024096385542168676
2024-01-14;League of Legends Scrims;scrim| aeg game 5;2621549;14.1.553.2414;1;GIA Th3Antonio;-664;-717;7.644141212911551;1;2;1;0.125;7;469.22456264949125;915.14892578125;915.14892578125;0.1650602409638554;0.8060240963855422;0.0;0.0;0.0024096385542168677
2024-01-14;League of Legends Scrims;scrim| gia g5;2621575;14.1.553.2414;1;GIA Th3Antonio;299;847;7.705484353321744;2;1;0;0.2222222222222222;6;242.95070878017594;3336.612060546875;17538.517578125;0.08904933814681107;0.7063778580024067;0.0048134777376654635;0.0048134777376654635;0.052948255114320095
2024-01-14;League of Legends Scrims;scrim| gia g5;2621575;14.1.553.2414;1;AEG Agresivoo;-299;-847;7.516005229879406;3;2;1;0.3076923076923077;7;782.369046038955;402.237060546875;402.237060546875;0.1371841155234657;0.7412755716004813;0.027677496991576414;0.0048134777376654635;0.02888086642599278
2024-01-14;League of Legends Scrims;scrim| aeg g7;2621611;14.1.553.2414;1;GIA Th3Antonio;-1723;-1995;7.644626766430743;0;2;0;0.0;6;214.93904926710198;0;0;0.07710843373493977;0.6939759036144578;0.01566265060240964;0.016867469879518072;0.027710843373493974
2024-01-14;League of Legends Scrims;scrim| aeg g7;2621611;14.1.553.2414;1;AEG Agresivoo;1723;1995;8.971380172174921;2;0;0;0.2;6;532.5281778478331;3314.9794921875;3314.9794921875;0.05301204819277108;0.7433734939759036;0.0;0.0;0.010843373493975903
2024-01-15;League of Legends Scrims;scrim| aeg g1;2621961;14.1.553.2414;1;AEG Agresivoo;-807;-648;8.58958530458421;0;0;0;0.0;5;223.01627696934503;1344.990234375;2354.1484375;0.2045728038507822;0.681107099879663;0.018050541516245487;0.0;0.05776173285198556
2024-01-15;League of Legends Scrims;scrim| aeg g1;2621961;14.1.553.2414;1;BKR Howling;807;648;10.168553191456308;0;0;3;0.5;4;479.532208011674;1639.54248046875;1681.102783203125;0.1552346570397112;0.7087845968712395;0.0;0.007220216606498195;0.07340553549939831
2024-01-15;League of Legends Scrims;scrim| aeg game 2;2621988;14.1.553.2414;1;BKR Howling;2921;2727;9.476173141298958;3;0;0;0.2727272727272727;4;646.1536564620516;1920.8084716796875;1920.8084716796875;0.060240963855421686;0.7240963855421687;0.0;0.03975903614457831;0.00963855421686747
2024-01-15;League of Legends Scrims;scrim| aeg game 2;2621988;14.1.553.2414;1;AEG Agresivoo;-2921;-2727;6.317448760865973;0;3;0;0.0;5;409.7307249284159;0;0;0.14337349397590363;0.5518072289156627;0.06144578313253012;0.0;0.03855421686746988
2024-01-15;League of Legends Scrims;scrim| aeg game 3;2622031;14.1.553.2414;1;AEG Agresivoo;-2637;-2459;6.822287634787971;0;2;0;0.0;6;334.8875760792435;0;1916.8388671875;0.1901323706377858;0.7918170878459687;0.007220216606498195;0.0;0.030084235860409144
2024-01-15;League of Legends Scrims;scrim| aeg game 3;2622031;14.1.553.2414;1;BKR Howling;2637;2459;9.728076812568032;2;0;0;0.2222222222222222;5;618.8958965214882;3319.35009765625;3403.13037109375;0.06979542719614922;0.8688327316486161;0.0;0.0;0.012033694344163659
2024-01-15;League of Legends Scrims;scrim| bkr g4;2622075;14.1.553.2414;1;BKR Howling;4254;2676;7.519565594062379;5;0;0;0.4166666666666667;7;660.4311981996087;2837.793701171875;2837.793701171875;0.2036144578313253;0.7867469879518072;0.0;0.05542168674698795;0.008433734939759036
2024-01-15;League of Legends Scrims;scrim| bkr g4;2622075;14.1.553.2414;1;AEG Agresivoo;-4254;-2676;5.81344566935915;0;5;0;0.0;5;537.7436627071014;0;0;0.14096385542168674;0.7409638554216867;0.020481927710843374;0.0;0.0036144578313253013
2024-01-16;League of Legends Scrims;scrim| aeg g1;2622445;14.1.553.2414;1;AEG Agresivoo;-968;-487;7.961697825471759;1;2;1;0.6666666666666666;7;686.9940508259405;0;0;0.24457831325301205;0.7;0.012048192771084338;0.018072289156626505;0.06144578313253012
2024-01-16;League of Legends Scrims;scrim| aeg g1;2622445;14.1.553.2414;1;RBT iBo;968;487;9.415023619010254;1;2;1;0.5;5;225.50627913155054;555.986083984375;555.986083984375;0.35180722891566263;0.7686746987951807;0.0;0.008433734939759036;0.10120481927710843
2024-01-16;League of Legends Scrims;scrim| aeg game 2;2622491;14.1.553.2414;1;RBT iBo;1906;3969;9.73246581096184;4;1;2;0.5454545454545454;5;513.0821359223977;8016.20068359375;8016.20068359375;0.20843373493975903;0.5891566265060241;0.0;0.008433734939759036;0.014457831325301205
2024-01-16;League of Legends Scrims;scrim| aeg game 2;2622491;14.1.553.2414;1;AEG Agresivoo;-1906;-3969;6.7621678037202395;2;2;0;1.0;6;362.1894172087758;1613.1102294921875;1613.1102294921875;0.15542168674698795;0.6096385542168675;0.06746987951807229;0.0;0.0036144578313253013
2024-01-16;League of Legends Scrims;scrim| aeg game 4;2622643;14.1.553.2414;1;RBT iBo;-179;-817;7.391359213356649;2;0;3;0.5555555555555556;6;560.996687057386;759.2754516601562;759.2754516601562;0.1783132530120482;0.3168674698795181;0.016867469879518072;0.05060240963855422;0.012048192771084338
2024-01-16;League of Legends Scrims;scrim| aeg game 4;2622643;14.1.553.2414;1;AEG Agresivoo;179;817;8.465317389656333;1;2;0;0.14285714285714285;7;489.2026014797629;3555.6435546875;4769.9453125;0.09879518072289156;0.3349397590361446;0.05301204819277108;0.010843373493975903;0.046987951807228916
2024-01-16;League of Legends Scrims;scrim| aeg game 5;2622702;14.1.553.2414;1;AEG Agresivoo;-363;-965;8.84537988870913;0;2;1;0.3333333333333333;7;525.1990584276213;237.30490112304688;1486.98388671875;0.09759036144578313;0.6265060240963856;0.004819277108433735;0.004819277108433735;0.08674698795180723
2024-01-16;League of Legends Scrims;scrim| aeg game 5;2622702;14.1.553.2414;1;RBT iBo;363;965;8.71901731887043;2;0;0;1.0;7;450.48299337828706;2285.699462890625;4265.22412109375;0.2;0.7457831325301205;0.0;0.0;0.05301204819277108
2024-01-16;League of Legends Scrims;scrim| aeg game 6;2622741;14.1.553.2414;1;RBT iBo;478;-507;8.781586009992157;0;0;1;0.2;7;689.2381428083359;3882.515625;3882.515625;0.27349397590361446;0.7710843373493976;0.018072289156626505;0.012048192771084338;0.03614457831325301
2024-01-16;League of Legends Scrims;scrim| aeg game 6;2622741;14.1.553.2414;1;AEG Agresivoo;-478;507;9.413354787689435;0;1;0;0.0;6;537.8216139490378;1679.2767333984375;2781.4296875;0.056626506024096385;0.7349397590361446;0.02289156626506024;0.0;0.05903614457831325
2024-01-19;League of Legends Scrims;scrim| aeg g1;2623995;14.1.553.2414;1;BJK Hoon;-303;73;9.101590764567044;0;2;0;0.0;5;434.41044753418015;2949.52001953125;2949.52001953125;0.1602409638554217;0.691566265060241;0.0;0.021686746987951807;0.01325301204819277
2024-01-19;League of Legends Scrims;scrim| aeg g1;2623995;14.1.553.2414;1;AEG Agresivoo;303;-73;8.34312486751979;2;0;0;0.2222222222222222;6;388.75876911488706;0;0;0.11927710843373494;0.6650602409638554;0.006024096385542169;0.0;0.021686746987951807
2024-01-19;League of Legends Scrims;scrim| aeg game 2;2624018;14.1.553.2414;1;AEG Agresivoo;441;-1002;8.08695652173913;0;0;0;0.0;5;335.9058997112772;115.52000427246094;115.52000427246094;0.1136079900124844;0.7815230961298377;0.017478152309612985;0.0;0.0
2024-01-19;League of Legends Scrims;scrim| aeg game 2;2624018;14.1.553.2414;1;BJK Hoon;-441;1002;9.195652173913043;0;0;0;0.0;7;604.9144234035326;3858.156005859375;3858.156005859375;0.0749063670411985;0.6941323345817728;0.003745318352059925;0.016229712858926344;0.03245942571785269
2024-01-19;League of Legends Scrims;scrim| aeg game 3;2624037;14.1.553.2414;1;AEG Agresivoo;-801;-1672;7.706601077357987;0;2;3;0.3;5;427.33716156060603;1158.3572998046875;1158.3572998046875;0.16626506024096385;0.6373493975903615;0.01325301204819277;0.01325301204819277;0.016867469879518072
2024-01-19;League of Legends Scrims;scrim| aeg game 3;2624037;14.1.553.2414;1;BJK Hoon;801;1672;9.728004638632212;1;0;0;0.07692307692307693;4;610.1024435142917;4079.502197265625;4079.502197265625;0.1;0.6734939759036145;0.021686746987951807;0.02530120481927711;0.03132530120481928
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568871|game1;2624061;14.1.553.2414;1;BKR Howling;763;1843;8.276734274703962;3;0;1;0.6666666666666666;6;630.4365988747462;0;483.6539001464844;0.35180722891566263;0.810843373493976;0.010843373493975903;0.0;0.012048192771084338
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568871|game1;2624061;14.1.553.2414;1;TDS SLT;-763;-1843;8.15037191936497;0;3;0;0.0;6;243.34286109738278;0;336.81500244140625;0.15421686746987953;0.7144578313253012;0.02289156626506024;0.0;0.012048192771084338
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503319|game1;2624062;14.1.553.2414;1;M8 Ragner;422;-443;8.71748970636101;0;0;0;0;6;71.2869170497546;0;0;0.10469314079422383;0.7484957882069796;0.0012033694344163659;0.0;0.018050541516245487
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503319|game1;2624062;14.1.553.2414;1;GW Pride;-422;443;9.538702504786322;0;0;1;1.0;5;277.7943528629983;380.5793762207031;668.2536010742188;0.19133574007220217;0.7135980746089049;0.012033694344163659;0.0048134777376654635;0.07701564380264742
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568895|game1;2624063;14.1.553.2414;1;KCB Maynter;655;1249;7.8351144702588735;4;1;2;0.6;6;411.0996187962671;851.1637573242188;1074.5733642578125;0.23373493975903614;0.8518072289156626;0.006024096385542169;0.0;0.004819277108433735
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568895|game1;2624063;14.1.553.2414;1;VITB Naak Nako;-655;-1249;7.771928063240657;1;2;0;0.14285714285714285;5;310.9634793427337;0;0;0.18313253012048192;0.7867469879518072;0.01566265060240964;0.0012048192771084338;0.02289156626506024
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568887|game1;2624064;14.1.553.2414;1;SLY Kryze;1090;1994;9.729985886366329;1;0;0;0.25;5;458.3530691651388;2861.267333984375;2861.267333984375;0.1108433734939759;0.8698795180722891;0.01325301204819277;0.0;0.01927710843373494
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755568887|game1;2624064;14.1.553.2414;1;GO Lot;-1090;-1994;7.708170637251247;0;1;1;1.0;6;53.386021472234425;0;525.7486572265625;0.1578313253012048;0.6674698795180722;0.04819277108433735;0.008433734939759036;0.03614457831325301
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503301|game1;2624065;14.1.553.2414;1;AEG Agresivoo;49;-15;9.537021965978282;1;0;0;0.5;7;340.9144577496008;653.8933715820312;2103.41357421875;0.1299638989169675;0.7388688327316486;0.0024067388688327317;0.0012033694344163659;0.03730445246690734
2024-01-24;La Ligue Française - Spring 2024 (Regular Season: Regular Season);111561126755503301|game1;2624065;14.1.553.2414;1;BDSA JNX;-49;15;10.358090082254558;0;0;0;0.0;7;324.74286370358703;288.31304931640625;2263.650390625;0.18170878459687123;0.8423586040914561;0.012033694344163659;0.0036101083032490976;0.0914560770156438
